N_MPI,N_OMP,REP1s,REP2s,REP3s,REP4s,REP5s
1,1,189.371,186.531,166.279,166.088,166.13
1,2,82.3816,84.259,82.244,84.2576,84.2578
1,4,41.1747,43.413,41.1897,41.1604,43.3416
1,8,20.6164,20.5978,23.4066,20.6405,24.0809
1,16,12.1507,14.9667,12.1458,12.1596,12.5822
1,32,11.3701,12.7339,11.3716,11.3467,14.3283
1,64,12.7573,13.2762,15.5111,14.5292,14.8626
2,1,92.8985,96.9341,96.9666,96.9808,96.9642
2,2,48.7439,48.5745,48.5829,48.5862,49.3382
2,4,27.059,24.949,24.7072,24.8576,24.4614
2,8,14.9788,15.0716,15.0437,15.2719,14.7469
2,16,15.2766,15.2832,15.2808,15.2763,15.2604
2,32,16.3528,15.6386,15.7659,15.468,15.6806
4,1,48.5399,48.5559,49.1954,48.6728,48.5274
4,2,25.7822,24.8268,25.2517,27.2494,24.5481
4,4,15.0697,14.926,15.0326,15.0641,15.0522
4,8,15.2967,15.2509,10.4352,10.3876,11.5011
4,16,10.916,10.9237,10.9922,10.8316,10.9292
8,1,20.6513,20.6617,20.961,20.6666,20.693
8,2,11.1231,11.1881,11.1835,11.2002,11.2014
8,4,10.4851,10.4455,10.4444,10.4396,10.4119
8,8,11.0899,11.0544,10.9419,11.0787,10.9649
16,1,11.0978,12.677,12.8184,12.6692,12.4967
16,2,11.2012,11.3063,11.331,11.4707,11.2848
16,4,11.5584,11.2063,11.3739,11.2782,10.8895
32,1,11.1598,11.7786,11.8337,11.7819,12.0124
32,2,10.7028,12.0974,12.2015,12.2874,12.3315
